,10070309,10070304,10070320,10070311,10070334,10070319,10070308,10070323,10070307,10070322,10070329,10070321,10070312,10070333,10070301,10070314,10070306,10070324,10070315,10070303,10070302,10070310,10070305,10070326,10070327,10070328,10070325,10070331,10070313,10070318,10070317,10070316,10070332,10070335,10070336
10070309,30,26,20,12,3,4,5,3,3,2,1,3,1,2,1,2,2,1,1,2,2,1,4,2,3,1,1,,2,,,1,,,
10070304,26,29,19,10,4,5,4,2,3,2,1,3,1,2,1,1,1,1,,,1,2,1,3,3,2,2,1,1,,,1,,,
10070320,20,19,23,11,3,1,,1,1,3,,1,2,,1,1,2,1,1,2,1,1,2,2,2,1,1,,2,1,1,1,,,
10070311,12,10,11,21,2,1,,,1,2,,2,1,1,,2,2,1,1,1,9,8,5,1,1,,,,2,,1,1,,,
10070334,3,4,3,2,7,,,,,,,,,,,,1,,,,,,,5,3,4,4,1,1,,,,,,
10070319,4,5,1,1,,19,13,10,5,4,7,6,4,3,4,,,,,1,,,,,1,,,1,,3,2,,,,
10070308,5,4,,,,13,15,10,3,,7,3,,3,2,,,,,,,,,,,,,,,,,,,,
10070323,3,2,1,,,10,10,13,5,3,6,1,2,1,3,,,,,1,,,,,1,,,,,2,2,,,,
10070307,3,3,1,1,,5,3,5,10,5,,1,3,2,5,,,,,1,,,,,1,,,,,2,2,,,,
10070322,2,2,3,2,,4,,3,5,9,,3,5,1,2,,,,,1,,,,,1,,,,,4,2,,,,
10070329,1,1,,,,7,7,6,,,8,1,,1,1,,,,,,,,,,1,,,,,,,,,,
10070321,3,3,1,2,,6,3,1,1,3,1,7,3,2,,,,,,,,,,,,,,,,2,1,,,,
10070312,1,1,2,1,,4,,2,3,5,,3,6,1,1,,,,,1,,,,,1,,,,,4,3,,,,
10070333,2,2,,1,,3,3,1,2,1,1,2,1,4,1,,,,,,,,,,,,,,,,,,,,
10070301,1,1,1,,,4,2,3,5,2,1,,1,1,9,,,,,2,1,,,,1,,,,,1,1,,,1,
10070314,2,1,1,2,,,,,,,,,,,,15,11,12,1,4,1,4,3,,,,,,1,,1,,,,
10070306,2,1,2,2,1,,,,,,,,,,,11,13,11,1,2,1,3,1,,,,1,,1,,,1,,,
10070324,1,1,1,1,,,,,,,,,,,,12,11,12,1,2,1,3,1,,,,,,1,,,,,,
10070315,1,,1,1,,,,,,,,,,,,1,1,1,1,1,,,1,,,,,,1,,,,,,
10070303,2,,2,1,,1,,1,1,1,,,1,,2,4,2,2,1,8,,,3,,1,,,,3,1,1,,,,
10070302,2,1,1,9,,,,,,,,,,,1,1,1,1,,,12,7,5,,,,,,1,,,,,,
10070310,1,2,1,8,,,,,,,,,,,,4,3,3,,,7,12,2,,,,1,,,,1,1,,,
10070305,4,1,2,5,,,,,,,,,,,,3,1,1,1,3,5,2,8,,,,,,2,,,,,,
10070326,2,3,2,1,5,,,,,,,,,,,,,,,,,,,9,4,7,4,1,1,,,2,1,,
10070327,3,3,2,1,3,1,,1,1,1,1,,1,,1,,,,,1,,,,4,7,3,2,1,,1,1,,,,
10070328,1,2,1,,4,,,,,,,,,,,,,,,,,,,7,3,7,4,1,1,,,1,,,
10070325,1,2,1,,4,,,,,,,,,,,,1,,,,,1,,4,2,4,6,1,1,,,1,,,
10070331,,1,,,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,
10070313,2,1,2,2,1,,,,,,,,,,,1,1,1,1,3,1,,2,1,,1,1,,5,,,,,,
10070318,,,1,,,3,,2,2,4,,2,4,,1,,,,,1,,,,,1,,,,,6,4,,,,1
10070317,,,1,1,,2,,2,2,2,,1,3,,1,1,,,,1,,1,,,1,,,,,4,6,,,,1
10070316,1,1,1,1,,,,,,,,,,,,,1,,,,,1,,2,,1,1,,,,,4,1,,
10070332,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,
10070335,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1
10070336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,2
